id,nom,groupe_musculaire,equipement,url
marche-du-fermier-avec-kettlebells,Marche du fermier avec kettlebells,Ischio-jambiers,Kettlebell,https://www.docteur-fitness.com/marche-du-fermier-avec-kettlebells
deadlift-reeves,Reeves deadlift,Ischio-jambiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/deadlift-reeves
leg-curl-decline-avec-haltere,Leg curl décliné avec haltère,Ischio-jambiers,Machine|Haltères,https://www.docteur-fitness.com/leg-curl-decline-avec-haltere
nordic-hamstring-curl-avec-elastique,Nordic hamstring curl avec élastique,Ischio-jambiers,Élastique,https://www.docteur-fitness.com/nordic-hamstring-curl-avec-elastique
souleve-de-terre-avec-deficit,Soulevé de terre avec déficit,Ischio-jambiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/souleve-de-terre-avec-deficit
extension-lombaire-au-banc-a-45,Extension lombaire au banc à 45°,Ischio-jambiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/extension-lombaire-au-banc-a-45
souleve-de-terre-avec-elastique,Soulevé de terre avec élastique,Ischio-jambiers,Élastique,https://www.docteur-fitness.com/souleve-de-terre-avec-elastique
squat-goblet-avec-kettlebell,Squat goblet avec kettlebell,Ischio-jambiers,Kettlebell,https://www.docteur-fitness.com/squat-goblet-avec-kettlebell
pistol-squat,Pistol squat,Ischio-jambiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/pistol-squat
fentes-avant-avec-kettlebell,Fentes avant avec kettlebell,Ischio-jambiers,Kettlebell,https://www.docteur-fitness.com/fentes-avant-avec-kettlebell
souleve-de-terre-sumo-avec-kettlebell,Soulevé de terre sumo avec kettlebell,Ischio-jambiers,Kettlebell,https://www.docteur-fitness.com/souleve-de-terre-sumo-avec-kettlebell
glute-ham-developer,Extensions de hanches au GHD,Ischio-jambiers,Machine,https://www.docteur-fitness.com/glute-ham-developer
front-squat-avec-halteres,Front squat avec haltères,Ischio-jambiers,Haltères,https://www.docteur-fitness.com/front-squat-avec-halteres
squat-sumo-avec-haltere,Squat sumo avec haltère,Ischio-jambiers,Haltères,https://www.docteur-fitness.com/squat-sumo-avec-haltere
fentes-avant-avec-barre,Fentes avant avec barre,Ischio-jambiers,Barre,https://www.docteur-fitness.com/fentes-avant-avec-barre
souleve-de-terre-avec-machine,Soulevé de terre avec machine,Ischio-jambiers,Machine,https://www.docteur-fitness.com/souleve-de-terre-avec-machine
leg-curl-avec-sangles-de-suspension,Leg curl avec sangles de suspension,Ischio-jambiers,Sangles de suspension / TRX|Machine,https://www.docteur-fitness.com/leg-curl-avec-sangles-de-suspension
souleve-de-terre-valise-a-un-bras,Soulevé de terre valise,Ischio-jambiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/souleve-de-terre-valise-a-un-bras
souleve-de-terre-sumo,Soulevé de terre sumo,Ischio-jambiers,Poids de corps / sans matériel,https://www.docteur-fitness.com/souleve-de-terre-sumo
souleve-de-terre-a-la-trap-bar,Soulevé de terre à la trap bar,Ischio-jambiers,Barre,https://www.docteur-fitness.com/souleve-de-terre-a-la-trap-bar
leg-curl-assis-a-la-machine,Leg curl assis à la machine,Ischio-jambiers,Machine,https://www.docteur-fitness.com/leg-curl-assis-a-la-machine
